MAX,MIN,YEARMODA,AVG
24.9,16.9,20240602,20.8
26.7,15,20240603,20.8
25.1,15.4,20240604,20.2
24,12.4,20240605,18.6
20.4,13.1,20240606,16.1
19.5,9.1,20240607,14.6
18.3,8.6,20240608,13.9
16.1,11.2,20240609,13.1
18.1,7.7,20240610,12.8
19.3,10.2,20240611,14.1
18.5,10.8,20240612,14.4
18.5,11.2,20240613,14.6
19,11.2,20240614,14.8
19.6,8.9,20240615,15.1
22.7,13.8,20240616,17.6
23.5,15.2,20240617,18.6
22.6,15.2,20240618,17.8
18.3,12.6,20240619,15.6
21.8,13,20240620,16.3
22.7,10.9,20240621,17.4
22,10.6,20240622,17.5
24.1,11.4,20240623,18.9
24.5,16.3,20240624,19.6
26.2,12.2,20240625,20.5
26.4,15.8,20240626,21.3
28,15,20240627,22.3
28,16.7,20240628,23.3
24.7,17.5,20240629,20.4
23.7,14,20240630,18.8
22.1,16.8,20240701,18.7
24,13.9,20240702,18.5
18.6,13,20240703,14.8
21.4,13.1,20240704,17.3
20.8,13.6,20240705,16.7
19.9,11,20240706,14.9
20.3,15.2,20240707,16.9
22.2,13.6,20240708,17.7
23.4,12.8,20240709,18
23,12.3,20240710,18.7
22.7,16.8,20240711,19.3
24,17.1,20240712,19.1
25.8,16,20240713,21.1
21.8,16.9,20240714,19.4
22.9,14.8,20240715,18.8
25.1,14.9,20240716,20.5
24.8,18.1,20240717,20.6
23.3,16.8,20240718,18.9
21.9,15.9,20240719,17.9
24.1,15.9,20240720,18.4
23.6,16.5,20240721,19.3
25.3,16.7,20240722,21.7
25.6,19,20240723,22.1
25.2,20,20240724,22.2
26.8,18.1,20240725,22.2
27.1,17.3,20240726,22.7
25.7,16.6,20240727,21.4
25,18.3,20240728,21.1
25.6,18.4,20240729,21.5
24.4,17.4,20240730,20
24.7,14.4,20240731,17.8
22.6,13.5,20240801,17.5
23.2,14.6,20240802,17.3
23.9,14.8,20240803,17.8
22.8,15.1,20240804,17.8
21.5,14.7,20240805,18
23.6,16.5,20240806,19.1
22.9,12.9,20240807,18.1
24.7,14.1,20240808,19.9
24.7,16.6,20240809,21.4
22.3,16.5,20240810,18.5
22.4,13.7,20240811,16.6
18.4,12.4,20240812,14.5
24.7,11.8,20240813,18.5
24.4,13.6,20240814,19.6
24.6,14.1,20240815,19.9
21.4,18.2,20240816,19.6
23.2,17.4,20240817,19.2
22.1,12.4,20240818,17.2
23,14.9,20240819,18.1
21.5,10.1,20240820,16.8
23,15.6,20240821,19.6
22.9,17.9,20240822,19.4
21.4,12.5,20240823,17
19.9,15.9,20240824,17.3
26.5,14.2,20240825,19.7
20.5,14.2,20240826,17
21.5,15.3,20240827,17.6
22,14.1,20240828,17.5
22.5,14.2,20240829,18.3
25.1,15.9,20240830,21.4
23.7,13.7,20240831,16.1
18.9,12,20240901,15
